threads,ratio,rep,time_s
4,90,1,.006724974
4,90,2,.008237740
4,90,3,.007821878
4,90,4,.012128938
4,90,5,.016171944
4,70,1,.009283542
4,70,2,.013771077
4,70,3,.014320849
4,70,4,.014364187
4,70,5,.005784805
4,50,1,.008073995
4,50,2,.008440784
4,50,3,.014825678
4,50,4,.007948253
4,50,5,.007144190
8,90,1,.021570453
8,90,2,.005045680
8,90,3,.006539625
8,90,4,.011501013
8,90,5,.012524370
8,70,1,.012414590
8,70,2,.013433801
8,70,3,.012386698
8,70,4,.011507628
8,70,5,.009938493
8,50,1,.013991139
8,50,2,.011762056
8,50,3,.012842750
8,50,4,.008115384
8,50,5,.011167660
